                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.79395,                0.75415,                 1.0442,                0.55417,                0.73123,                0.66774,                0.46834,                 1.2367,                0.98711,                 1.2518,             0.00096215,             0.00096215,             0.00096215
                     36,                 0.8384,                0.75892,                 1.0653,                0.64492,                0.76877,                0.73802,                0.49347,                 1.1259,                0.87259,                 1.1515,               0.000948,               0.000948,               0.000948
                     37,                0.85143,                0.79018,                  1.068,                0.77715,                0.71643,                0.77115,                0.55813,                 1.1271,                0.74021,                 1.2745,             0.00093385,             0.00093385,             0.00093385
                     38,                 0.8298,                0.71852,                 1.0636,                0.84029,                0.60113,                0.78731,                 0.5802,                 1.2927,                0.82797,                 1.3155,              0.0009197,              0.0009197,              0.0009197
                     39,                0.80932,                0.69551,                 1.0357,                0.64742,                 0.8463,                0.84206,                0.62747,                 1.1871,                0.73044,                 1.3145,             0.00090556,             0.00090556,             0.00090556
                     40,                0.79244,                0.65712,                 1.0593,                0.75778,                0.76053,                 0.8072,                0.60206,                  1.122,                0.72854,                 1.1795,             0.00089141,             0.00089141,             0.00089141
                     41,                0.80443,                0.67854,                 1.0475,                0.77555,                0.78366,                 0.8356,                0.64662,                0.88911,                0.66833,                 1.0446,             0.00087726,             0.00087726,             0.00087726
                     42,                 0.7744,                0.69637,                 1.0462,                0.87345,                0.74401,                0.81793,                0.62707,                0.74526,                0.65064,                0.99995,             0.00086312,             0.00086312,             0.00086312
                     43,                0.75868,                 0.6473,                 1.0276,                0.79625,                0.79915,                0.87697,                0.68097,                 1.0411,                0.68507,                 1.0676,             0.00084897,             0.00084897,             0.00084897
                     44,                0.77093,                 0.6288,                 1.0472,                0.87165,                0.81734,                0.86562,                 0.6723,                 1.3466,                 1.0861,                 1.1464,             0.00083482,             0.00083482,             0.00083482
                     45,                0.79961,                0.66923,                 1.0679,                0.69505,                0.83974,                0.82387,                0.65085,                0.91785,                0.82115,                 1.1224,             0.00082067,             0.00082067,             0.00082067
                     46,                0.76735,                 0.6551,                 1.0391,                0.79433,                0.82395,                0.85069,                 0.6514,                 0.9343,                0.61565,                 1.0933,             0.00080653,             0.00080653,             0.00080653
                     47,                0.76244,                0.65017,                 1.0582,                0.73191,                0.80962,                 0.8724,                0.65008,                 1.0085,                0.82961,                   1.16,             0.00079238,             0.00079238,             0.00079238
                     48,                0.72375,                0.70629,                 1.0253,                 0.9113,                0.63498,                0.83626,                0.64818,                 1.0004,                0.67866,                 1.1526,             0.00077823,             0.00077823,             0.00077823
                     49,                0.72968,                0.62894,                 1.0391,                0.92798,                0.67822,                0.80184,                0.62641,                 1.1068,                0.74576,                  1.187,             0.00076409,             0.00076409,             0.00076409
                     50,                0.73236,                0.59747,                 1.0116,                0.86185,                 0.6233,                0.76604,                0.57569,                 1.1436,                0.70328,                 1.1835,             0.00074994,             0.00074994,             0.00074994
